Component,Eigenvalue,Variance Ratio,Cumulative Variance Ratio
Component 1,3253791209796186.5,0.9990886384016467,0.9990886384016467
Component 2,2966077286024.6045,0.0009107450128227483,0.9999993834144695
Component 3,2007802838.5075815,6.165032956214645e-07,0.9999999999177651
Component 4,261711.03289583029,8.035934165762343e-11,0.9999999999981245
Component 5,6046.260513776054,1.8565266775395043e-12,0.999999999999981
Component 6,59.13066434436323,1.8156289423160364e-14,0.9999999999999992
Component 7,2.855412738130747,8.767650536472075e-16,1.0
Component 8,0.22467962154162144,6.898870968942001e-17,1.0
