ファイル名,寄付金額,達成率,目標金額,支援者数,期間,応援メッセージの件数,進捗情報,説明文字数,お礼品の種類,お礼品の最高額,お礼品の最低額,説明に使われた画像の枚数
2242,754000,75.4,1000000,69,61,2,1,288,3,15000,10000,16
1601,3325488,110.8,3000000,226,63,20,0,0,0,,,29
1265,738000,36.9,2000000,52,91,7,1,69,10,38000,10000,19
60,2215000,22.1,10000000,56,19,8,0,0,0,,,32
2672,560000,18.6,3000000,24,91,0,0,276,1,5000,5000,8
2686,1000000,100,1000000,95,61,0,0,191,482,2000000,4000,56
160,3286000,164.3,2000000,211,62,20,0,50,0,,,18
2229,35000,1.1,3000000,5,70,2,1,173,0,,,14
736,5175000,103.5,5000000,10,07,0,1,205,0,,,19
194,147000,14.7,1000000,14,30,2,0,177,0,,,13
1494,720000,51.4,1400000,32,81,10,0,463,5,300000,5000,17
503,2117000,105.8,2000000,214,58,20,2,0,0,,,20
2015,1341000,134.1,1000000,55,87,9,1,137,0,,,27
2227,30000,1.5,2000000,2,59,0,1,54,0,,,17
363,20470000,102.3,20000000,287,92,20,4,160,7,300000,10000,58
2816,1799400,179.9,1000000,90,90,0,4,148,315,1353000,5000,63
535,1102000,73.4,1500000,35,99,10,0,140,0,,,20
707,225000,22.5,1000000,9,90,3,0,119,0,,,29
2476,1341500,134.1,1000000,118,91,0,0,436,0,,,23
1451,575580,33.8,1700000,99,34,20,0,293,0,,,30
390,5073000,101.4,5000000,227,92,20,1,223,0,,,25
1238,789588,7.8,10000000,45,74,0,2,347,11,126000,10000,21
216,565000,11.3,5000000,28,86,7,0,331,0,,,16
2709,1419333,70.9,2000000,93,77,0,0,93,0,,,14
440,345000,23,1500000,9,03,0,1,153,0,,,24
2504,491822,9.8,5000000,60,91,20,0,354,0,,,17
2736,754000,10.7,7000000,36,90,0,1,298,24,480000,5000,20
2352,5119800,102.3,5000000,308,91,0,1,68,1067,3334000,1000,44
447,787029,78.7,1000000,61,66,17,0,439,9,33000,5000,33
675,820000,27.3,3000000,18,92,3,0,217,79,1000000,5000,26
2167,3800000,190,2000000,270,90,0,0,330,11,25000,7000,19
1988,527000,35.1,1500000,15,90,0,1,167,0,,,14
1140,1453491,38.2,3800000,65,90,0,1,284,0,,,28
1975,3375000,112.5,3000000,180,90,20,4,362,8,20000,3000,44
1182,34845000,116.1,30000000,46,34,5,1,0,5,2000000,7000,23
816,690000,69,1000000,10,91,0,1,344,8,101000,12000,12
1512,11915974,595.7,2000000,313,90,0,2,144,7,300000,3000,20
644,135000,9,1500000,16,92,0,0,107,0,,,15
1986,29157632,64.7,45000000,"1,185",79,20,0,991,50,3000000,5000,28
1388,8166000,102,8000000,340,88,20,8,306,8,100000,10000,41
2390,2422000,242.2,1000000,130,90,4,1,187,583,800000,6000,106
2364,1313000,26.2,5000000,26,81,0,1,305,0,,,15
449,150000,3.7,4000000,12,88,0,1,741,0,,,21
1185,7644000,254.8,3000000,363,91,20,3,140,2,17000,10000,33
2700,1919000,0.9,197250000,127,90,0,1,164,446,1000000,2000,29
422,2260000,205.4,1100000,146,91,20,1,91,0,,,23
628,3140000,157,2000000,53,92,0,1,196,2,30000,10000,20
2753,566000,9.4,6000000,19,37,0,0,142,701,60000000,1000,30
2595,4417500,220.8,2000000,168,91,0,6,206,74,500000,5000,29
273,20571000,102.8,20000000,"1,018",90,6,0,186,168,4300000,10000,46
2568,250000,16.6,1500000,9,90,0,0,164,0,,,14
1745,185100,18.5,1000000,19,38,0,0,252,3,30000,10000,12
1577,224000,22.4,1000000,6,90,0,0,0,470,800000,5000,32
289,3000000,100,3000000,161,92,0,0,0,5,100000,5000,33
2796,4224000,140.8,3000000,368,90,19,2,92,492,500000,3000,181
2908,3626000,36.2,10000000,67,64,18,4,114,20,800000,13000,21
2134,3005000,100.1,3000000,88,51,0,0,346,13,33000,12000,15
2339,904000,45.2,2000000,49,90,1,4,155,264,1065000,5000,44
626,8033500,47.2,17000000,172,92,4,1,160,6,500000,10000,48
1389,2040000,102,2000000,60,91,14,1,174,11,200000,10000,23
477,1114000,111.4,1000000,35,35,0,0,298,4,100000,10000,20
645,1754000,175.4,1000000,60,03,11,0,527,4,20000,5000,18
221,5976000,59.7,10000000,397,51,20,4,290,2,10000,10000,19
810,336000,33.6,1000000,21,92,0,0,0,0,,,19
2365,365000,14.6,2500000,37,90,0,0,491,1,5000,5000,11
1342,323000,3.6,8900000,25,89,0,0,141,17,150000,10000,18
1148,25521000,255.2,10000000,155,56,0,1,389,0,,,21
226,101618005,101.6,100000000,"6,317",20,10,0,1184,0,,,27
642,1006000,100.6,1000000,19,85,0,2,152,4,200000,150000,30
2396,1131111,113.1,1000000,35,90,0,5,167,0,,,25
2534,22349877,49.6,45000000,926,91,20,0,536,36,100000,5000,14
1183,200000,5.1,3900000,12,54,0,0,236,10,32000,10000,18
219,345000,17.2,2000000,17,92,2,0,153,0,,,18
2362,520000,34.6,1500000,27,39,0,3,279,51,100000,3000,23
1728,524276,10.4,5000000,33,80,0,0,239,0,,,22
680,3448420,172.4,2000000,180,06,0,1,423,0,,,19
446,1813500,18.1,10000000,81,92,20,0,449,48,1400000,5000,13
1141,172500,17.2,1000000,9,75,0,0,0,15,100000,12000,24
441,355000,10.1,3500000,27,90,0,0,506,3,50000,10000,18
687,1085000,54.2,2000000,67,90,4,1,240,3,30000,5000,22
826,4703000,23.5,20000000,156,91,0,0,389,2,100000,10000,16
2353,8870000,177.4,5000000,423,90,0,0,242,1064,3334000,1000,35
2195,400000,40,1000000,23,82,4,1,274,0,,,16
1374,603000,10,6000000,48,90,0,0,224,0,,,14
2551,585000,58.5,1000000,12,90,0,1,413,0,,,13
1582,934700,9.3,10000000,71,35,0,0,291,3,10000,7000,19
2135,1254000,62.7,2000000,36,06,2,0,300,29,1800000,10000,25
288,1655000,41.3,4000000,73,90,20,0,371,4,50000,10000,13
886,1000000,100,1000000,24,90,0,0,158,0,,,16
2797,50000,3.3,1500000,1,91,0,0,672,0,,,10
243,28702747,82,35000000,138,90,0,0,135,0,,,17
1743,50000,5,1000000,3,90,0,0,0,502,800000,5000,48
