ファイル名,寄付金額,達成率,目標金額,支援者数,期間,応援メッセージの件数,進捗情報,説明文字数,お礼品の種類,お礼品の最高額,お礼品の最低額,説明に使われた画像の枚数
69,"260,000",8.6,"目標金額：3,000,000円",,2016129201632961,6,,48,0,,,18
1862,"3,281,423",109.3,"目標金額：3,000,000円",,20229122022121191,0,3,212,15,148000,10000,26
901,"5,410,000",54.1,"目標金額：10,000,000円",,202061202083192,0,5,273,36,100000,8000,15
56,"600,000",20,"目標金額：3,000,000円",,20151116201612470,0,,0,0,,,16
1637,"684,000",22.8,"目標金額：3,000,000円",,20221032022123190,0,,239,7,80000,3000,14
1405,"1,057,500",105.7,"目標金額：1,000,000円",,20211042021123189,9,4,0,12,55000,5000,50
595,"1,115,574",111.5,"目標金額：1,000,000円",,2019922019112686,0,,157,0,,,25
105,"170,000",5.6,"目標金額：3,000,000円",,20169202016111860,0,,140,0,,,32
1066,"4,740,145",237,"目標金額：2,000,000円",,2020112202113191,20,3,18,0,,,26
2425,"3,072,000",51.2,"目標金額：6,000,000円",,20238252023102562,0,3,67,10,39000,10000,29
1092,"1,327,000",100.5,"目標金額：1,320,000円",,2020111020211758,3,,315,0,,,26
2617,"1,378,000",34.4,"目標金額：4,000,000円",,2023111202412990,5,2,180,519,1500000,10000,28
2273,0,0,"目標金額：10,000,000円",,20234102023930174,0,,598,0,,,10
308,"16,609,310",166,"目標金額：10,000,000円",,201852220181031163,20,4,287,6,300000,5000,21
1639,"55,050",2.7,"目標金額：2,000,000円",,202241202263091,3,1,205,0,,,14
1853,"1,005,000",100.4,"目標金額：1,000,000円",,202291202293030,5,2,80,0,,,18
58,"9,839,000",98.3,"目標金額：10,000,000円",,201511302015123132,0,,600,0,,,30
765,"418,000",13.9,"目標金額：3,000,000円",,202023202033057,0,,151,6,18000,18000,20
133,"10,555,000",211.1,"目標金額：5,000,000円",,2017632018131243,11,,0,0,,,14
1050,"2,445,000",29.8,"目標金額：8,190,000円",,202011162021228105,0,,232,37,190000,10000,24
2083,"12,531,500",1253.1,"目標金額：1,000,000円",,20221121202322092,3,2,504,30,334000,5500,19
568,"2,030,000",202.9,"目標金額：1,000,000円",,201971201993092,14,,198,4,100000,5000,25
2413,"2,880,500",72,"目標金額：4,000,000円",,202394202312290,20,,253,153,3450000,7000,41
2873,"458,000",17.9,"目標金額：2,547,000円",,202411202433191,0,,108,226,330000,5000,20
762,"123,000",6.1,"目標金額：2,000,000円",,202023202032451,0,1,0,12,100000,5000,14
2619,"3,809,351",76.1,"目標金額：5,000,000円",,20231032023123190,0,1,119,249,1200000,7000,38
1068,"2,633,000",131.6,"目標金額：2,000,000円",,202011420212190,10,3,220,40,170000,1000,23
2289,"796,000",79.6,"目標金額：1,000,000円",,2023812023102990,9,2,414,3,10000,3000,27
1291,"218,000",21.8,"目標金額：1,000,000円",,202182202193060,0,,288,11,50000,6000,17
94,"574,000",14.3,"目標金額：4,000,000円",,20167152017331260,5,,322,0,,,32
2242,"754,000",75.4,"目標金額：1,000,000円",,202331202343061,2,1,288,3,15000,10000,16
1601,"3,325,488",110.8,"目標金額：3,000,000円",,2022729202292963,20,,0,0,,,29
1265,"738,000",36.9,"目標金額：2,000,000円",,202171202192991,7,1,69,10,38000,10000,19
60,"2,215,000",22.1,"目標金額：10,000,000円",,20151242016331119,8,,0,0,,,32
2672,"560,000",18.6,"目標金額：3,000,000円",,202310620241491,0,,276,1,5000,5000,8
2686,"1,000,000",100,"目標金額：1,000,000円",,20231112023123161,0,,191,482,2000000,4000,56
160,"3,286,000",164.3,"目標金額：2,000,000円",,201771201783162,20,,50,0,,,18
2229,"35,000",1.1,"目標金額：3,000,000円",,2023120202333070,2,1,173,0,,,14
736,"5,175,000",103.5,"目標金額：5,000,000円",,201912162020331107,0,1,205,0,,,19
194,"147,000",14.7,"目標金額：1,000,000円",,2017821201791930,2,,177,0,,,13
1494,"720,000",51.4,"目標金額：1,400,000円",,20211112202213181,10,,463,5,300000,5000,17
503,"2,117,000",105.8,"目標金額：2,000,000円",,20181220201921558,20,2,0,0,,,20
2015,"1,341,000",134.1,"目標金額：1,000,000円",,2022101120231587,9,1,137,0,,,27
2227,"30,000",1.5,"目標金額：2,000,000円",,202321202333159,0,1,54,0,,,17
363,"20,470,000",102.3,"目標金額：20,000,000円",,20181012018123192,20,4,160,7,300000,10000,58
2816,"1,799,400",179.9,"目標金額：1,000,000円",,20231215202431390,0,4,148,315,1353000,5000,63
535,"1,102,000",73.4,"目標金額：1,500,000円",,2019419201972699,10,,140,0,,,20
707,"225,000",22.5,"目標金額：1,000,000円",,20191119202021690,3,,119,0,,,29
2476,"1,341,500",134.1,"目標金額：1,000,000円",,20239152023121491,0,,436,0,,,23
1451,"575,580",33.8,"目標金額：1,700,000円",,2022226202233134,20,,293,0,,,30
390,"5,073,000",101.4,"目標金額：5,000,000円",,20181012018123192,20,1,223,0,,,25
1238,"789,588",7.8,"目標金額：10,000,000円",,2021519202173174,0,2,347,11,126000,10000,21
216,"565,000",11.3,"目標金額：5,000,000円",,20171022017122686,7,,331,0,,,16
2709,"1,419,333",70.9,"目標金額：2,000,000円",,202310162023123177,0,,93,0,,,14
440,"345,000",23,"目標金額：1,500,000円",,20197120191011103,0,1,153,0,,,24
2504,"491,822",9.8,"目標金額：5,000,000円",,2023912023113091,20,,354,0,,,17
2736,"754,000",10.7,"目標金額：7,000,000円",,20231027202412490,0,1,298,24,480000,5000,20
2352,"5,119,800",102.3,"目標金額：5,000,000円",,20237282023102691,0,1,68,1067,3334000,1000,44
447,"787,029",78.7,"目標金額：1,000,000円",,201811120191566,17,,439,9,33000,5000,33
675,"820,000",27.3,"目標金額：3,000,000円",,20191125202022492,3,,217,79,1000000,5000,26
2167,"3,800,000",190,"目標金額：2,000,000円",,202212920233890,0,,330,11,25000,7000,19
1988,"527,000",35.1,"目標金額：1,500,000円",,20221014202311190,0,1,167,0,,,14
1140,"1,453,491",38.2,"目標金額：3,800,000円",,20201216202131590,0,1,284,0,,,28
1975,"3,375,000",112.5,"目標金額：3,000,000円",,2022101120231890,20,4,362,8,20000,3000,44
1182,"34,845,000",116.1,"目標金額：30,000,000円",,20211082021111034,5,1,0,5,2000000,7000,23
816,"690,000",69,"目標金額：1,000,000円",,2020520202081891,0,1,344,8,101000,12000,12
1512,"11,915,974",595.7,"目標金額：2,000,000円",,202111320222190,0,2,144,7,300000,3000,20
644,"135,000",9,"目標金額：1,500,000円",,20191012019123192,0,,107,0,,,15
1986,"29,157,632",64.7,"目標金額：45,000,000円",,20221042023331179,20,,991,50,3000000,5000,28
1388,"8,166,000",102,"目標金額：8,000,000円",,20211052021123188,20,8,306,8,100000,10000,41
2390,"2,422,000",242.2,"目標金額：1,000,000円",,2023812023102990,4,1,187,583,800000,6000,106
2364,"1,313,000",26.2,"目標金額：5,000,000円",,2023712202393081,0,1,305,0,,,15
449,"150,000",3.7,"目標金額：4,000,000円",,2018115201913188,0,1,741,0,,,21
1185,"7,644,000",254.8,"目標金額：3,000,000円",,202141202163091,20,3,140,2,17000,10000,33
2700,"1,919,000",0.9,"目標金額：197,250,000円",,2023111202412990,0,1,164,446,1000000,2000,29
422,"2,260,000",205.4,"目標金額：1,100,000円",,20181022018123191,20,1,91,0,,,23
628,"3,140,000",157,"目標金額：2,000,000円",,20191012019123192,0,1,196,2,30000,10000,20
2753,"566,000",9.4,"目標金額：6,000,000円",,202310252023113037,0,,142,701,60000000,1000,30
2595,"4,417,500",220.8,"目標金額：2,000,000円",,20231022023123191,0,6,206,74,500000,5000,29
273,"20,571,000",102.8,"目標金額：20,000,000円",,201842201863090,6,,186,168,4300000,10000,46
2568,"250,000",16.6,"目標金額：1,500,000円",,20231018202411590,0,,164,0,,,14
1745,"185,100",18.5,"目標金額：1,000,000円",,20227120228738,0,,252,3,30000,10000,12
1577,"224,000",22.4,"目標金額：1,000,000円",,2021121020223990,0,,0,470,800000,5000,32
289,"3,000,000",100,"目標金額：3,000,000円",,201851201873192,0,,0,5,100000,5000,33
2796,"4,224,000",140.8,"目標金額：3,000,000円",,20231212202431090,19,2,92,492,500000,3000,181
2908,"3,626,000",36.2,"目標金額：10,000,000円",,20245120247364,18,4,114,20,800000,13000,21
2134,"3,005,000",100.1,"目標金額：3,000,000円",,202211112022123151,0,,346,13,33000,12000,15
2339,"904,000",45.2,"目標金額：2,000,000円",,2023622202391990,1,4,155,264,1065000,5000,44
626,"8,033,500",47.2,"目標金額：17,000,000円",,20191012019123192,4,1,160,6,500000,10000,48
1389,"2,040,000",102,"目標金額：2,000,000円",,20211029202212791,14,1,174,11,200000,10000,23
477,"1,114,000",111.4,"目標金額：1,000,000円",,201811272018123135,0,,298,4,100000,10000,20
645,"1,754,000",175.4,"目標金額：1,000,000円",,201992020191231103,11,,527,4,20000,5000,18
221,"5,976,000",59.7,"目標金額：10,000,000円",,20171112018331151,20,4,290,2,10000,10000,19
810,"336,000",33.6,"目標金額：1,000,000円",,202071202093092,0,,0,0,,,19
2365,"365,000",14.6,"目標金額：2,500,000円",,202373202393090,0,,491,1,5000,5000,11
1342,"323,000",3.6,"目標金額：8,900,000円",,20211042021123189,0,,141,17,150000,10000,18
1148,"25,521,000",255.2,"目標金額：10,000,000円",,202114202122856,0,1,389,0,,,21
226,"101,618,005",101.6,"目標金額：100,000,000円",,20171112018228120,10,,1184,0,,,27
642,"1,006,000",100.6,"目標金額：1,000,000円",,20191082019123185,0,2,152,4,200000,150000,30
2396,"1,131,111",113.1,"目標金額：1,000,000円",,2023832023103190,0,5,167,0,,,25
2534,"22,349,877",49.6,"目標金額：45,000,000円",,20231022023123191,20,,536,36,100000,5000,14
1183,"200,000",5.1,"目標金額：3,900,000円",,202151420217654,0,,236,10,32000,10000,18
219,"345,000",17.2,"目標金額：2,000,000円",,2017111201813192,2,,153,0,,,18
2362,"520,000",34.6,"目標金額：1,500,000円",,2023620202372839,0,3,279,51,100000,3000,23
1728,"524,276",10.4,"目標金額：5,000,000円",,2022713202318180,0,,239,0,,,22
680,"3,448,420",172.4,"目標金額：2,000,000円",,20191222020316106,0,1,423,0,,,19
446,"1,813,500",18.1,"目標金額：10,000,000円",,2018111201913192,20,,449,48,1400000,5000,13
1141,"172,500",17.2,"目標金額：1,000,000円",,20201216202122875,0,,0,15,100000,12000,24
441,"355,000",10.1,"目標金額：3,500,000円",,2018111220192990,0,,506,3,50000,10000,18
687,"1,085,000",54.2,"目標金額：2,000,000円",,2019111202012990,4,1,240,3,30000,5000,22
826,"4,703,000",23.5,"目標金額：20,000,000円",,202071202092991,0,,389,2,100000,10000,16
2353,"8,870,000",177.4,"目標金額：5,000,000円",,202373202393090,0,,242,1064,3334000,1000,35
2195,"400,000",40,"目標金額：1,000,000円",,2022129202322882,4,1,274,0,,,16
1374,"603,000",10,"目標金額：6,000,000円",,20219132021121190,0,,224,0,,,14
2551,"585,000",58.5,"目標金額：1,000,000円",,20231032023123190,0,1,413,0,,,13
1582,"934,700",9.3,"目標金額：10,000,000円",,202112172022430135,0,,291,3,10000,7000,19
2135,"1,254,000",62.7,"目標金額：2,000,000円",,202212162023331106,2,,300,29,1800000,10000,25
288,"1,655,000",41.3,"目標金額：4,000,000円",,201851201872990,20,,371,4,50000,10000,13
886,"1,000,000",100,"目標金額：1,000,000円",,2020615202091290,0,,158,0,,,16
2797,"50,000",3.3,"目標金額：1,500,000円",,20231127202422591,0,,672,0,,,10
243,"28,702,747",82,"目標金額：35,000,000円",,201712620183590,0,,135,0,,,17
1743,"50,000",5,"目標金額：1,000,000円",,2022622202291990,0,,0,502,800000,5000,48
1585,"60,000",6,"目標金額：1,000,000円",,20211224202212836,0,2,481,0,,,15
2764,"6,652,131",221.7,"目標金額：3,000,000円",,2023111202412990,9,1,234,83,800000,6000,24
2569,"392,000",21.7,"目標金額：1,800,000円",,20231022023123191,0,12,260,0,,,46
620,"328,000",32.8,"目標金額：1,000,000円",,20199202019122092,2,7,129,0,,,53
244,"680,000",45.3,"目標金額：1,500,000円",,2017121201822890,0,,183,0,,,14
1311,"5,197,884",103.9,"目標金額：5,000,000円",,2021812022131184,0,1,45,0,,,16
2752,"4,847,000",161.5,"目標金額：3,000,000円",,20231124202413169,1,3,274,596,3000000,5000,64
629,"215,000",11.8,"目標金額：1,815,000円",,201992020191231103,3,2,162,10,70000,10000,26
2104,"2,955,000",147.7,"目標金額：2,000,000円",,20221110202311062,20,5,637,11,100000,10000,25
888,"37,000",1.2,"目標金額：3,000,000円",,20206420209190,0,,0,122,500000,10000,21
272,"2,100,000",105,"目標金額：2,000,000円",,20183212018831164,0,,0,9,70000,6000,22
2907,"4,192,000",139.7,"目標金額：3,000,000円",,202431202452990,0,3,11,101,1200000,7000,20
2331,"2,045,000",102.2,"目標金額：2,000,000円",,2023812023103192,2,1,0,119,560000,7000,28
844,"700,000",70,"目標金額：1,000,000円",,202051202072990,13,1,270,4,100000,5000,13
2567,"330,000",8.2,"目標金額：4,000,000円",,20231022023123090,0,,299,0,,,16
2755,"7,866,000",170.4,"目標金額：4,616,000円",,2023111202412990,0,11,210,14,3500000,8000,47
1124,"125,000",6.2,"目標金額：2,000,000円",,2020121202122890,1,,399,8,70000,5000,15
611,"1,821,100",121.4,"目標金額：1,500,000円",,20198302019113093,20,2,0,3,10000,5000,42
275,"1,000,000",100,"目標金額：1,000,000円",,201843201862988,14,,286,4,50000,5000,15
1329,"4,243,254",141.4,"目標金額：3,000,000円",,20218202021111790,20,1,219,5,50000,5000,46
